,index,date,full_date,id,text,time
0,0,2020-11-09,2020-11-09 23:45:06,1318572096277139462,"A comparison of four re-purposed antiviral drugs for hospitalized people with severe #COVID19: we summarize results from the Solidarity trial, in @medrxivpreprint https://t.co/cGrW9wvQlT  #GrandRounds #coronavirus #covid #Remdesivir #Hydroxychloroquine #Lopinavir #Interferon",23:45:06
1,1,2020-11-04,2020-11-04 18:47:57,1317360631452897280,Coronavirus treatment: Do #Remdesivir and #Hydroxychloroquine help COVID patients recover? We explain - Times of India https://t.co/SXCJl3bDFy,18:47:57
2,2,2020-11-02,2020-11-02 17:56:28,1317175283234070533,#Remdesivir Study Accidentally Proves #Hydroxychloroquine Effective Against COVID-19 https://t.co/JfHtaaC8dl  #HCQ,17:56:28
3,3,2020-11-01,2020-11-01 11:35:03,1317056251881283584,Early #treatment with #hydroxychloroquine: a country-based #analysis. The treatment group has a 70.7% lower death rate. https://t.co/egrf4XALnF,11:35:03
4,4,2020-11-01,2020-11-01 17:32:04,1317236840768954368,"Early intervention and treatment of high-risk patients with COVID-19 results in significantly few hospitalizations and deaths. This treatment regimen involving zinc, hydroxychloroquine, and azithromycin known as #ZelenkoProtocol #Hydroxychloroquine https://t.co/v5JjZAdiRa",17:32:04
5,5,2020-11-01,2020-11-01 18:06:26,1257325442140266501,"SOLIDARITY trial by @WHO shows: #Remdesivir, #Hydroxychloroquine, #Lopinavir and #Interferon regimens have little to no effect on hospitalized #COVID-19
@trials_doc

https://t.co/LH5KcqdrM5",18:06:26
6,6,2020-10-31,2020-10-31 03:00:32,1280029976457347072,"Read how this Dr is treating his #covid19 early using #hydroxychloroquine and #ivermectin An evolving story that shows confidence in this regimen.
@DrSubhasree
@drsimonegold
@jpkiekens https://t.co/SmbvSTWkBX",03:00:32
7,7,2020-10-29,2020-10-29 15:15:16,1317036230199156738,"#Remdesivir, #Hydroxychloroquine, #Lopinavir, and #Interferon regimens appeared to have little or no effect on hospitalized #COVID19, as indicated by overall mortality, initiation of ventilation and duration of hospital stay.

https://t.co/P9iapy6MO5",15:15:16
8,8,2020-10-29,2020-10-29 09:08:56,1279547070920048640,"Hard Data on Remdesivir, and on Hydroxychloroquine | In the Pipeline https://t.co/Tb74z1IF8V  An important  read #Hydroxychloroquine #CovidUK  @BBCNews  #sarscov2  #Brexit  #FoxNews",09:08:56
9,9,2020-10-28,2020-10-28 14:06:35,1280801968693411841,"Commentary: COVID-19 treatment researchers should be cooperating not trash-talking each other https://t.co/HMjFVz7yn5 #throwback #COVID19 #hydroxychloroquine #remdesivir
#medicine",14:06:35
