Source,Claim,Debunk_Date,Label,Category,Topics
WHO,"Covid originated from Wuhan, China",23/11/2020,TRUE,Virus origin and properties,"Public authority actions, policy, and communications"
WHO,Covid was reported on 31.12.2019,23/11/2020,TRUE,Virus origin and properties,Community spread and impact
WHO,Symptom of Covid is fever,23/11/2020,TRUE,Virus origin and properties,Medical advice and self-treatments
WHO,Symptom of Covid is a dry cough,23/11/2020,TRUE,Virus origin and properties,Claims about prominent actors
WHO,Symptom of Covid is fatigue,23/11/2020,TRUE,Virus origin and properties,Conspiracy theories
WHO,Less common symptom of Covid is loss of taste,23/11/2020,TRUE,Virus origin and properties,Virus transmission
WHO,Less common symptom of Covid is loss of smell,23/11/2020,TRUE,Virus origin and properties,Virus origin and properties
WHO,Less common symptom of Covid is nasal congestion,23/11/2020,TRUE,Virus origin and properties,"Public preparedness, protests, and civil disobedience"
WHO,Less common symptom of Covid is conjunctivitis/red eyes,23/11/2020,TRUE,Virus origin and properties,"Vaccines, medical treatments, and tests"
WHO,Less common symptom of Covid is sore throat,23/11/2020,TRUE,Virus origin and properties,
WHO,Less common symptom of Covid is headache,23/11/2020,TRUE,Virus origin and properties,
WHO,Less common symptom of Covid is muscle/joint pain,23/11/2020,TRUE,Virus origin and properties,
WHO,Less common symptom of Covid is skin rash,23/11/2020,TRUE,Virus origin and properties,
WHO,Less common symptom of Covid is nausea/vomiting,23/11/2020,TRUE,Virus origin and properties,
WHO,Less common symptom of Covid is diarrhea,23/11/2020,TRUE,Virus origin and properties,
WHO,Less common symptom of Covid is chills/dizziness,23/11/2020,TRUE,Virus origin and properties,
WHO,Severe Covid symptom - shortness of breath,23/11/2020,TRUE,Virus origin and properties,
WHO,Severe Covid symptom - loss of appetite,23/11/2020,TRUE,Virus origin and properties,
WHO,Severe Covid symptom - confusion,23/11/2020,TRUE,Virus origin and properties,
WHO,Severe Covid symptom - persistent pain/pressure on chest,23/11/2020,TRUE,Virus origin and properties,
WHO,Severe Covid symptom - high fever,23/11/2020,TRUE,Virus origin and properties,
WHO,80% of people diagnosed with Covid recover,23/11/2020,TRUE,Virus origin and properties,
WHO,Children can develop an inflammatory syndrome weeks after Covid infection,23/11/2020,TRUE,Virus origin and properties,
WHO,Complications of Covid - respiratory failure,23/11/2020,TRUE,Virus origin and properties,
WHO,Complications of Covid - acute respiratory distress syndrome,23/11/2020,TRUE,Virus origin and properties,
WHO,Complications of Covid - sepsis / septic shock,23/11/2020,TRUE,Virus origin and properties,
WHO,Complications of Covid - thromboembolism,23/11/2020,TRUE,Virus origin and properties,
WHO,Complications of Covid - multiorgan failure,23/11/2020,TRUE,Virus origin and properties,
WHO,People over 60 are high risk,23/11/2020,TRUE,Virus origin and properties,
WHO,people with underlying medical problems are high risk,23/11/2020,TRUE,Virus origin and properties,
WHO,"high blood pressure, heart problems, lung problems, obesity, cancer, immunity issues",23/11/2020,TRUE,Virus origin and properties,
WHO,Covid has no long-term effects in some cases,23/11/2020,TRUE,Virus origin and properties,
WHO,Covid gives Chronic Fatigue in some cases,23/11/2020,TRUE,Virus origin and properties,
WHO,"Physical distancing, masks, ventilation in rooms, personal hygiene.",23/11/2020,TRUE,Virus transmission,
