,Duplicate indexes (add the index of the first entry),Category,Claim,Debunk_Date,Idx,Label,Source,,Topics
0,,Virus origin and properties,"Covid originated from Wuhan, China",23/11/2020,0,TRUE,WHO,,"Public authority actions, policy, and communications"
1,,Virus origin and properties,Covid was reported on 31.12.2019,23/11/2020,1,TRUE,WHO,,Community spread and impact
2,,Virus origin and properties,Symptom of Covid is fever,23/11/2020,2,TRUE,WHO,,Medical advice and self-treatments
3,,Virus origin and properties,Symptom of Covid is a dry cough,23/11/2020,3,TRUE,WHO,,Claims about prominent actors
4,,Virus origin and properties,Symptom of Covid is fatigue,23/11/2020,4,TRUE,WHO,,Conspiracy theories
5,,Virus origin and properties,Less common symptom of Covid is loss of taste,23/11/2020,5,TRUE,WHO,,Virus transmission
6,,Virus origin and properties,Less common symptom of Covid is loss of smell,23/11/2020,6,TRUE,WHO,,Virus origin and properties
7,,Virus origin and properties,Less common symptom of Covid is nasal congestion,23/11/2020,7,TRUE,WHO,,"Public preparedness, protests, and civil disobedience"
8,,Virus origin and properties,Less common symptom of Covid is conjunctivitis/red eyes,23/11/2020,8,TRUE,WHO,,"Vaccines, medical treatments, and tests"
9,,Virus origin and properties,Less common symptom of Covid is sore throat,23/11/2020,9,TRUE,WHO,,Other
10,,Virus origin and properties,Less common symptom of Covid is headache,23/11/2020,10,TRUE,WHO,,
11,,Virus origin and properties,Less common symptom of Covid is muscle/joint pain,23/11/2020,11,TRUE,WHO,,
12,,Virus origin and properties,Less common symptom of Covid is skin rash,23/11/2020,12,TRUE,WHO,,
13,,Virus origin and properties,Less common symptom of Covid is nausea/vomiting,23/11/2020,13,TRUE,WHO,,
14,,Virus origin and properties,Less common symptom of Covid is diarrhea,23/11/2020,14,TRUE,WHO,,
15,,Virus origin and properties,Less common symptom of Covid is chills/dizziness,23/11/2020,15,TRUE,WHO,,
16,,Virus origin and properties,Severe Covid symptom - shortness of breath,23/11/2020,16,TRUE,WHO,,
17,,Virus origin and properties,Severe Covid symptom - loss of appetite,23/11/2020,17,TRUE,WHO,,
18,,Virus origin and properties,Severe Covid symptom - confusion,23/11/2020,18,TRUE,WHO,,
19,,Virus origin and properties,Severe Covid symptom - persistent pain/pressure on chest,23/11/2020,19,TRUE,WHO,,
20,,Virus origin and properties,Severe Covid symptom - high fever,23/11/2020,20,TRUE,WHO,,
21,,Virus origin and properties,80% of people diagnosed with Covid recover,23/11/2020,21,TRUE,WHO,,
22,,Virus origin and properties,Children can develop an inflammatory syndrome weeks after Covid infection,23/11/2020,22,TRUE,WHO,,
23,,Virus origin and properties,Complications of Covid - respiratory failure,23/11/2020,23,TRUE,WHO,,
24,,Virus origin and properties,Complications of Covid - acute respiratory distress syndrome,23/11/2020,24,TRUE,WHO,,
25,,Virus origin and properties,Complications of Covid - sepsis / septic shock,23/11/2020,25,TRUE,WHO,,
26,,Virus origin and properties,Complications of Covid - thromboembolism,23/11/2020,26,TRUE,WHO,,
27,,Virus origin and properties,Complications of Covid - multiorgan failure,23/11/2020,27,TRUE,WHO,,
28,,Virus origin and properties,People over 60 are high risk,23/11/2020,28,TRUE,WHO,,
29,,Virus origin and properties,people with underlying medical problems are high risk,23/11/2020,29,TRUE,WHO,,
30,,Virus origin and properties,"high blood pressure, heart problems, lung problems, obesity, cancer, immunity issues",23/11/2020,30,TRUE,WHO,,
31,,Virus origin and properties,Covid has no long-term effects in some cases,23/11/2020,31,TRUE,WHO,,
32,,Virus origin and properties,Covid gives Chronic Fatigue in some cases,23/11/2020,32,TRUE,WHO,,
33,,Virus transmission,"Physical distancing, masks, ventilation in rooms, personal hygiene.",23/11/2020,33,TRUE,WHO,,
34,,"Vaccines, medical treatments, and tests",having symptoms = get tested,23/11/2020,34,TRUE,WHO,,
35,,"Vaccines, medical treatments, and tests","While waiting for a test result, you should isolate",23/11/2020,35,TRUE,WHO,,
36,,"Vaccines, medical treatments, and tests",PCR is a molecular test,23/11/2020,36,TRUE,WHO,,
37,,"Vaccines, medical treatments, and tests",Test samples are collected from the throat and nose.,23/11/2020,37,TRUE,WHO,,
38,,"Vaccines, medical treatments, and tests","Tests confirm an active infection, within the first few days of exposure",23/11/2020,38,TRUE,WHO,,
39,,"Vaccines, medical treatments, and tests",Antigen tests are less accurate,23/11/2020,39,TRUE,WHO,,
40,,"Vaccines, medical treatments, and tests",Antigen tests are best when the individual is most infectious.,23/11/2020,40,TRUE,WHO,,
41,,"Vaccines, medical treatments, and tests",Antibody tests do not diagnose Covid,23/11/2020,41,TRUE,WHO,,
42,,"Vaccines, medical treatments, and tests",Antibody tests tell if you had Covid in the past,23/11/2020,42,TRUE,WHO,,
43,,"Vaccines, medical treatments, and tests",Quarantine means separating from others because you have been close to an infected person,23/11/2020,43,TRUE,WHO,,
44,,"Vaccines, medical treatments, and tests",Isolation means you have tested positive and need to be isolated from others,23/11/2020,44,TRUE,WHO,,
45,,"Vaccines, medical treatments, and tests",It takes 5-6 days to develop symptoms ,23/11/2020,45,TRUE,WHO,,
46,,"Vaccines, medical treatments, and tests",Isolation should last 14 days if tested positive,23/11/2020,46,TRUE,WHO,,
47,,"Vaccines, medical treatments, and tests","Covid vaccines - AstraZeneca, Moderna, Pfizer.",23/11/2020,47,TRUE,WHO,,
48,,"Vaccines, medical treatments, and tests",Vaccines need to be approved by national regulators.,23/11/2020,48,TRUE,WHO,,
49,,"Vaccines, medical treatments, and tests",Only AstraZeneca has been published in peer-reviewed literature.,23/11/2020,49,TRUE,WHO,,
50,,"Vaccines, medical treatments, and tests",dexamethasone is an emergency steroid for severly ill Covid patients,23/11/2020,50,TRUE,WHO,,
51,,"Vaccines, medical treatments, and tests","remdesivir, hydroxychloroquine, lopinavir/ritonavir and interferon regimens are not efficient treatments ",23/11/2020,51,TRUE,WHO,,
52,,"Vaccines, medical treatments, and tests",antibiotics do not work against viruses,23/11/2020,52,TRUE,WHO,,
53,,Virus origin and properties,"Covid is a virus, not a bacteria",23/11/2020,53,TRUE,WHO,,
