,misconception_id,category,misconception,tweet_id,label
0,3,Conspiracy theories,Coronavirus is genetically engineered.,1.23E+18,na
1,11,Virus origin and properties,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.23E+18,neg
2,1,Medical advice and self-treatments,A person can tell if they have coronavirus or not simply by holding their breath.,1.23E+18,pos
3,50,Virus transmission,It is safe for individuals infected with COVID-19 to go to work.,1.23E+18,na
4,15,Virus origin and properties,Coronavirus can only survive in cold temperatures.,1.23E+18,na
5,23,Virus origin and properties,SARS-CoV-2 can survive for weeks on surfaces.,1.23E+18,na
6,4,Conspiracy theories,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.23E+18,na
7,14,Medical advice and self-treatments,Hand sanitiser sold commercially does not destroy the coronavirus.,1.23E+18,na
8,10,Conspiracy theories,Coronavirus is caused by 5G.,1.23E+18,na
9,51,Virus origin and properties,COVID-19 is only as deadly as the seasonal flu.,1.23E+18,na
10,49,"Vaccines, medical treatments, and tests",We're very close to a vaccine.,1.23E+18,na
11,19,Medical advice and self-treatments,Vitamin C cures coronavirus.,1.23E+18,pos
12,27,Medical advice and self-treatments,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.23E+18,na
13,5,Community spread and impact,The first person infected is a researcher named Huang Yanling.,1.23E+18,na
14,8,Medical advice and self-treatments,Vitamin C can prevent coronavirus circulation.,1.23E+18,na
15,53,Community spread and impact,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.23E+18,na
16,48,Community spread and impact,There will be 500 deaths at the end of the pandemic.,1.23E+18,na
17,36,Medical advice and self-treatments,Chloroquine can cure coronavirus,1.23E+18,na
18,44,Medical advice and self-treatments,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.23E+18,na
19,25,Virus transmission,Holy communion cannot be the cause of the spread of coronavirus,1.23E+18,na
20,54,Conspiracy theories,The Simpsons predicted COVID-19 pandemic.,1.23E+18,na
21,18,Medical advice and self-treatments,Essential oils cure coronavirus.,1.23E+18,na
22,17,Medical advice and self-treatments,Avocado and mint tea cures coronavirus.,1.23E+18,na
23,2,Medical advice and self-treatments,Drinking large amounts of water will protect against coronavirus.,1.23E+18,na
24,35,Virus transmission,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.23E+18,na
25,7,Medical advice and self-treatments,Boiled ginger can cure coronavirus.,1.23E+18,na
26,28,Virus transmission,Using namaste as a greeting prevents transmission of covid-19.,1.23E+18,na
27,31,Virus origin and properties,The lifetime of SARS-CoV-2 is only 12 hours.,1.23E+18,na
28,9,Community spread and impact,Africans are more resistant to coronavirus.,1.23E+18,na
29,38,Virus transmission,Shaking hands cannot spread coronavirus.,1.23E+18,na
30,21,Medical advice and self-treatments,Fennel tea cures coronavirus.,1.23E+18,na
31,55,Virus transmission,Drinking Corona-brand beer causes COVID-19.,1.23E+18,na
